"obs1","obs2","obs3","obs4","obs5","obs6","obs7","obs8","obs9","obs10","obs11","obs12","obs13","obs14","obs15","obs16","obs17","obs18","obs19","obs20","obs21","obs22","obs23","obs24","obs25","obs26","obs27","obs28","obs29","obs30","obs31","obs32","obs33","obs34","obs35","obs36","obs37","obs38","obs39","obs40","obs41","obs42","obs43","obs44","obs45","obs46","obs47","obs48","obs49","obs50","obs51","obs52","obs53","obs54","obs55","obs56","obs57","obs58","obs59","obs60","obs61","obs62","obs63","obs64","sd","mean"
"sample1",1.44767434361183,6.80756861739453,1.34439768700558,2.44564525460898,2.83384294196519,3.44596559485956,1.52792163999895,10.6347785757796,5.47003545818298,8.27227431305799,1.04419654072185,4.51823896230707,4.61886453017318,6.37571755055561,2.00834929641909,9.40704380261985,3.37179218324243,4.23183184892272,3.86484830563706,4.71489758369933,4.57648910481642,7.85197216140291,0.147098928251972,6.00992835779381,0.409767216882382,1.9831215695008,3.43470495580648,3.17445461406895,0.875164048011809,0.766395569555847,2.36488219002419,4.16514111420083,3.69444546089938,3.42855758505749,4.7155945048244,3.29008112325946,6.60112172534676,4.09809053061752,1.26132822244189,1.27482266961935,1.85913717575987,0.924679375170936,1.86186107191176,6.08871980643611,4.27746253023496,2.29989162280047,0.985514976734016,1.31855656317805,3.5057658066159,8.6550255557924,0.822839972807418,4.25042487225411,1.76519974765632,0.927436478137275,4.29736037284706,1.26873326970108,2.95421083051614,0.991929245420989,2.94477889078288,2.57436331271341,0.200173748856293,4.40189388277221,2.64906159523601,2.85922807946377,2.34730761802758,3.39364524167102
"sample2",1.48926875202818,0.996108023124904,3.08997583511447,2.46916322600812,4.93462415697477,1.29596897911189,1.90282047030269,2.19884987079396,1.67050356058268,5.52727546894118,2.67331279828019,4.79106016435112,3.54344147507243,0.188984433540433,0.787642889268097,3.08297009705463,1.47249363384557,1.73516348129491,1.25411803742378,4.29311707092969,3.23583876326519,2.30551504253628,1.06020891884178,1.77066447842857,6.27128806122211,0.958758915298216,1.81382623667904,3.23070998427909,2.61295943219247,1.784168780267,5.21539763682907,4.84407666543163,4.37296936799524,1.57990729098529,7.62816075408474,4.14482910013244,1.4734275143969,2.37386445323848,6.23541610682315,2.34435984327731,2.49700406541542,0.845841951306381,9.34280340402398,2.41186318823387,8.37322601571447,3.87424125068597,3.86379582983081,16.449095223244,4.56720198482849,2.95109171460035,7.2795123506412,8.52518757232609,2.46441826105529,1.2028856641849,6.00591845592139,3.0626257102519,8.45132417281869,4.8504029830595,1.320999761619,3.3451343206924,4.19129712805704,4.86891064500555,2.93528085154439,4.13559226957841,2.69600754271393,3.63232600851386
"sample3",3.07530292502812,1.29339480441236,1.96253460594094,0.343153003450289,2.34023005269315,6.96078965035916,2.45351557526834,1.73625344972247,3.7270948001145,1.74706372578726,3.16379588789558,0.908867914219469,2.75977363815344,2.66252681044112,5.51234623396883,0.332372035620188,2.94491684210177,1.24896040669495,0.343003847789681,5.40833588723031,0.708849682316475,4.61262381474785,0.251738493964216,4.03720568000472,2.89019012519652,12.6516138885564,6.95461774632302,3.23614981672766,8.57464028258735,4.29758637684689,5.06529487531859,1.59144326409745,2.02788377234209,2.25649918141959,1.66032805706211,2.62726032622751,0.549902168936705,11.1153282784257,7.10180822261555,5.19851456077425,1.7439051035914,8.21894074064687,3.01936202200079,5.51675042090621,1.32161652657207,3.91011311754603,1.66220258765929,10.2663556825805,0.153929050702982,3.47173334472818,4.19963406186196,2.40719830508969,1.18133133960323,3.66713799214277,8.41402078433211,0.727445392530581,5.01333948019595,11.5678563623224,1.21586023415553,0.594231770300359,2.63919543691392,8.1477691160929,4.64894390430486,1.52229856372471,2.9790169000807,3.64945128206075
"sample4",3.68256186612814,2.14372106022994,4.36945847686037,0.974473267517845,4.6023194040594,7.65026653246264,5.3688852423099,11.6581908308273,0.566774469876676,1.78998494346904,1.90689651903533,5.85245421358067,3.24850989943432,2.68173419018022,2.11335130166192,6.5340587432406,3.19654512637917,2.68047723292572,0.839463753992783,3.61055126351025,3.10305680586744,1.79140163682267,1.54843318403839,2.79371438354667,5.73581113925104,7.05546585349149,0.854629443410025,1.58359216828885,5.18076580255623,0.651294334717618,1.85135988345591,2.69124105882566,8.00288940235179,1.52871698057282,4.68028824015551,7.64194751754304,3.41791395703462,3.71500271748475,5.50628215355908,2.8773974900939,4.26793328455837,4.90805037771561,3.95586561495494,3.27086524202616,3.98443301793468,2.16489563249558,3.27382187615098,1.35591191706999,6.74459286848376,6.38068431663464,3.39110120470734,2.0252307979916,1.08336032990684,0.513914232381975,2.70215213627368,5.60251966872876,2.78424906332157,1.97483782213798,11.2824351091218,3.3360018808778,8.88104989408697,2.79593707870007,2.86505006467556,9.23416542096725,2.52795096152352,3.85095220847896
"sample5",2.13328991873501,6.58175026148007,6.04437442591936,5.47492952690941,1.29017722533861,2.60199807699724,3.22315591220127,6.23135820111801,16.1665338869357,6.07489820636268,3.8629248374774,7.70649959133,4.09548457117017,1.22034512274337,0.32470007035021,3.97975908950912,2.15646645604252,1.58060992391635,7.10481460374369,3.14304524901434,7.34100059524228,2.42270430690371,4.7976100321516,11.0496607417383,4.90160039391252,4.8809131616745,5.7439953366526,4.87235337198881,3.56254324054023,2.14067665580784,2.87596211211206,3.86036085853722,1.82661098903994,6.60560312448654,11.6602270662213,4.44801251588703,5.75617354530876,2.94794953138612,2.4664919393285,2.6502013592612,0.843773136499526,12.8069843347869,3.82990828593305,3.79642311308407,4.5476479353105,1.86607765727802,7.79339894407593,2.83144187105092,1.38621569582828,2.66218133405409,3.97485447737137,5.79971756617326,5.63001691885555,1.50399474758461,11.1454744964159,2.8703727687142,1.01861432382938,3.33063275692618,2.09648286151276,0.107357091281018,1.28376424232671,5.25353317685272,2.66625327892966,0.541730032807183,3.12780781130101,4.33429089192121
"sample6",4.83712750907564,0.510062736127363,5.60659276690342,2.26482557902814,1.37226090389436,3.33221963474388,8.23171230761257,3.71798010103891,3.15019100590908,0.190242808172139,1.45154951343838,1.13335590443632,2.20408347487219,2.91171831485263,0.858180035231433,7.46022844054086,3.05327900705514,2.44854711423162,5.9740934894608,8.82591135004565,1.27068463670965,2.00843115985888,5.84964214947801,6.48631748316753,8.36265744804762,4.09422509343179,6.78585106001514,3.42123969982762,3.71305535785903,1.66910234620216,3.45434454765273,7.05061519406719,7.6896078394663,4.32323845993222,4.37418294643714,1.31709054791411,5.21555053957757,3.49383146858044,2.8077574072779,5.10658509610533,2.91699560998265,6.75821133822372,3.66234042852971,0.432018361467261,7.64872851059348,4.15585259028493,1.0366932190413,2.04668097320277,0.827453387419837,1.26662654274017,0.853401053693939,4.24265453829864,4.67264413462419,5.24353070987077,2.93814799788992,5.25607750981451,3.08359735645091,3.2869259706562,1.80744335930331,2.09263405297037,0.420609501227632,8.59583293001154,1.57731501343644,1.94732346126608,2.34270076671227,3.66871735983249
"sample7",4.88840377193462,2.86994672570776,8.13778777915768,0.147367702818572,1.8813723565094,3.14162936501657,2.96199730830709,3.08663413858745,4.20457416225002,6.16156369766618,2.00020836994237,3.58881919626847,5.80988050714987,5.75231165871326,4.1200731683988,2.79463297714371,6.92251193480613,0.933682648018533,0.819180567224855,2.56018725735382,2.954232950393,0.894226154215292,2.82007451679092,2.72861425410447,2.70621449719299,5.75403063416154,4.49140439558668,12.4675587703359,0.279352187276158,1.27508963897501,3.83237939897511,4.30362261683028,4.08471813762519,4.4191391866759,5.26327736903591,2.31292405669306,1.47859169519291,4.81636478056762,13.7190511668721,0.498522719629904,1.4370692749318,5.90819497032208,1.28951555942451,7.19673223495712,10.2823523380308,1.24675086496092,7.4490472482662,2.89614013087943,2.02582003661428,7.00517858764136,1.64867287715746,2.85066693916181,3.33144442365419,1.82074977483082,2.30215176417402,1.22964842232694,0.683591544415226,3.93574731553,2.47077238172671,3.34808024694223,4.61070751610656,0.733114220244717,6.34095860699517,2.69871199814797,2.72825542268614,3.72849958902418
"sample8",3.16862460120667,2.65195200973577,6.09024712461317,0.98784280781109,7.28402893389959,7.3004330273484,5.70694294581514,0.463735025411247,1.52087661612566,5.39607057559347,7.89606153114779,3.14041831100685,0.697565111925135,11.1102729534883,3.94591745160851,0.963003918984678,1.1279504095739,5.69886986637948,1.49659577756779,1.60481106685511,2.80359598542127,13.593529442372,4.66010790082425,3.61543379413602,7.29549879248808,9.30152608702348,1.26431724596233,5.78166762586978,2.06935756613214,9.12988896707073,4.07464383578268,1.13846797904726,11.860784149405,3.66256741817718,2.70502628123054,0.817645349793885,7.28657211509906,1.727426875242,4.1588682022002,1.06111883994053,2.55517021123003,3.31677973887877,1.03810398836466,2.90567395008779,2.56868605672157,8.53706682276775,6.31564342909608,2.63629762209547,6.88822020614544,0.868020216979184,9.80043182276856,3.50648069287484,6.94963983193458,6.70284789661375,8.35025336103521,4.59885053473969,0.707491962772405,7.87706564530397,1.5671459103082,2.08091019961069,4.49419232365722,0.988345190909203,4.89930892510222,7.13037897790146,3.14816747728714,4.43036359433149
"sample9",4.39862351393262,5.35688022734104,0.315172773232651,4.68204775551721,3.33834442911985,2.62200999016393,0.644341321979463,6.984548765876,10.5253630973378,2.53593629920123,0.926064457343329,3.4362461450695,4.61227430137485,5.8505386074327,3.72083166983541,4.35159625759251,3.59010482196319,4.17045041811864,5.60601251779337,6.22278756283957,6.61141261738583,5.39836903810617,2.32712416916083,4.07950811070412,1.20817586919699,1.74351986525103,2.23863755942226,1.03446978959268,3.91376930457899,1.59129878728182,0.759571410097216,3.85749236002435,5.24230853297375,2.51417364934858,11.6725140497977,3.53440414075817,6.03897614587042,2.21904163988307,2.50321669249188,2.93019154957622,6.87845589934532,3.83241054727998,1.34558277722664,6.63640241868543,2.08372225030145,1.35224870603329,6.00068013141056,1.83331859002724,8.76360606581908,2.06208667676223,4.45833068238035,2.02352877218261,1.61788375462724,7.68335559216916,1.97665507823159,0.0646018146910863,0.88860679227389,4.16011853264427,3.40999937131898,1.13311166478474,2.60620393792092,1.13121661429988,5.36645346272173,3.53446295094457,2.41177543131098,3.68986552029139
"sample10",8.86651802331772,0.537004578567679,2.13621277826509,1.6942011183843,1.25350826580062,2.95809877650319,1.57319130017703,8.26315004922118,0.694020050703296,3.53747647741605,11.3487385013555,5.2319783752023,2.98383883373886,9.77134365045608,1.71971158238147,2.66127923917646,6.26662666648157,0.972760383415022,2.64969971313598,4.74009474679523,2.56528917080343,4.56596919759482,1.63666368399797,2.88793820512996,2.44114878063407,5.37109137822039,9.08306092179643,12.3117631865997,3.13778030212928,1.97826260229643,6.81160581480733,5.6745337794833,2.07832190886512,0.222077895884394,1.64475498660361,2.69375985236723,4.11232102470575,12.9875738884437,1.40623370529916,0.824226867453872,0.509259678781819,1.00952902471169,5.6860055264259,1.43458551941161,1.16711066747821,4.75354971036029,1.29572261928817,1.57298398393563,0.445321410265683,4.36371087531794,6.48605564663171,5.23778460127402,3.17467752592211,1.48022333156366,2.13303079081117,0.502232601033275,0.852353688842667,4.68311851684703,0.746215667989481,5.53602183989345,4.97840381876101,6.26199938699198,1.56938568213577,4.3247086251051,3.01421968810623,3.66402845317797
